date,coin_id,price
2024-01-22,dogecoin,0.121
2024-01-23,dogecoin,0.125
2024-01-24,dogecoin,0.128
2024-01-25,dogecoin,0.126
2024-01-26,dogecoin,0.130
2024-01-27,dogecoin,0.133
2024-01-28,dogecoin,0.136
2024-01-29,dogecoin,0.135
2024-01-30,dogecoin,0.138
2024-01-01,cardano,0.55
2024-01-02,cardano,0.57
2024-01-03,cardano,0.59
2024-01-04,cardano,0.58
2024-01-05,cardano,0.61
2024-01-06,cardano,0.63
2024-01-07,cardano,0.62
2024-01-08,cardano,0.65
2024-01-09,cardano,0.64
2024-01-10,cardano,0.67
2024-01-11,cardano,0.69
2024-01-12,cardano,0.68
2024-01-13,cardano,0.71
2024-01-14,cardano,0.73
2024-01-15,cardano,0.75
2024-01-16,cardano,0.74
2024-01-17,cardano,0.76
2024-01-18,cardano,0.78
2024-01-19,cardano,0.77
2024-01-20,cardano,0.80
2024-01-21,cardano,0.82
2024-01-22,cardano,0.81
2024-01-23,cardano,0.84
2024-01-24,cardano,0.86
2024-01-25,cardano,0.85
2024-01-26,cardano,0.87
2024-01-27,cardano,0.89
2024-01-28,cardano,0.91
2024-01-29,cardano,0.90
2024-01-30,cardano,0.93
2024-01-01,solana,90.00
2024-01-02,solana,93.00
2024-01-03,solana,96.00
2024-01-04,solana,94.50
2024-01-05,solana,98.00
2024-01-06,solana,101.00
2024-01-07,solana,99.50
2024-01-08,solana,103.00
2024-01-09,solana,101.80
2024-01-10,solana,105.00
2024-01-11,solana,108.00
2024-01-12,solana,106.50
2024-01-13,solana,110.00
2024-01-14,solana,112.50
2024-01-15,solana,115.00
2024-01-16,solana,113.80
2024-01-17,solana,116.50
2024-01-18,solana,119.00
2024-01-19,solana,117.80
2024-01-20,solana,121.00
2024-01-21,solana,124.00
2024-01-22,solana,122.50
2024-01-23,solana,126.00
2024-01-24,solana,129.00
2024-01-25,solana,127.50
2024-01-26,solana,131.00
2024-01-27,solana,134.00
2024-01-28,solana,137.00
2024-01-29,solana,135.50
2024-01-30,solana,139.00
2024-01-01,xrp,0.60
2024-01-02,xrp,0.62
2024-01-03,xrp,0.64
2024-01-04,xrp,0.63
2024-01-05,xrp,0.66
2024-01-06,xrp,0.68
2024-01-07,xrp,0.67
2024-01-08,xrp,0.70
2024-01-09,xrp,0.69
2024-01-10,xrp,0.72
2024-01-11,xrp,0.74
2024-01-12,xrp,0.73
2024-01-13,xrp,0.76
2024-01-14,xrp,0.78
2024-01-15,xrp,0.80
2024-01-16,xrp,0.79
2024-01-17,xrp,0.82
2024-01-18,xrp,0.84
2024-01-19,xrp,0.83
2024-01-20,xrp,0.86
2024-01-21,xrp,0.88
2024-01-22,xrp,0.87
2024-01-23,xrp,0.90
2024-01-24,xrp,0.92
2024-01-25,xrp,0.91
2024-01-26,xrp,0.94
2024-01-27,xrp,0.96
2024-01-28,xrp,0.98
2024-01-29,xrp,0.97
2024-01-30,xrp,1.00
2024-01-01,bnb,250.00
2024-01-02,bnb,258.00
2024-01-03,bnb,265.00
2024-01-04,bnb,262.00
2024-01-05,bnb,270.00
2024-01-06,bnb,278.00
2024-01-07,bnb,275.00
2024-01-08,bnb,283.00
2024-01-09,bnb,280.00
2024-01-10,bnb,288.00
2024-01-11,bnb,295.00
2024-01-12,bnb,292.00
2024-01-13,bnb,300.00
2024-01-14,bnb,307.00
2024-01-15,bnb,314.00
2024-01-16,bnb,311.00
2024-01-17,bnb,318.00
2024-01-18,bnb,325.00
2024-01-19,bnb,322.00
2024-01-20,bnb,330.00
2024-01-21,bnb,338.00
2024-01-22,bnb,335.00
2024-01-23,bnb,343.00
2024-01-24,bnb,350.00
2024-01-25,bnb,347.00
2024-01-26,bnb,355.00
2024-01-27,bnb,363.00
2024-01-28,bnb,370.00
2024-01-29,bnb,367.00
2024-01-30,bnb,375.00
2024-01-01,polkadot,8.50
2024-01-02,polkadot,8.80
2024-01-03,polkadot,9.10
2024-01-04,polkadot,8.95
2024-01-05,polkadot,9.30
2024-01-06,polkadot,9.60
2024-01-07,polkadot,9.45
2024-01-08,polkadot,9.80
2024-01-09,polkadot,9.65
2024-01-10,polkadot,10.00
2024-01-11,polkadot,10.30
2024-01-12,polkadot,10.15
2024-01-13,polkadot,10.50
2024-01-14,polkadot,10.80
2024-01-15,polkadot,11.10
2024-01-16,polkadot,10.95
2024-01-17,polkadot,11.25
2024-01-18,polkadot,11.55
2024-01-19,polkadot,11.40
2024-01-20,polkadot,11.70
2024-01-21,polkadot,12.00
2024-01-22,polkadot,11.85
2024-01-23,polkadot,12.15
2024-01-24,polkadot,12.45
2024-01-25,polkadot,12.30
2024-01-26,polkadot,12.60
2024-01-27,polkadot,12.90
2024-01-28,polkadot,13.20
2024-01-29,polkadot,13.05
2024-01-30,polkadot,13.35
2024-01-01,avalanche,35.00
2024-01-02,avalanche,36.20
2024-01-03,avalanche,37.40
2024-01-04,avalanche,36.80
2024-01-05,avalanche,38.20
2024-01-06,avalanche,39.40
2024-01-07,avalanche,38.80
2024-01-08,avalanche,40.20
2024-01-09,avalanche,39.60
2024-01-10,avalanche,41.00
2024-01-11,avalanche,42.40
2024-01-12,avalanche,41.80
2024-01-13,avalanche,43.20
2024-01-14,avalanche,44.60
2024-01-15,avalanche,46.00
2024-01-16,avalanche,45.40
2024-01-17,avalanche,46.80
2024-01-18,avalanche,48.20
2024-01-19,avalanche,47.60
2024-01-20,avalanche,49.00
2024-01-21,avalanche,50.40
2024-01-22,avalanche,49.80
2024-01-23,avalanche,51.20
2024-01-24,avalanche,52.60
2024-01-25,avalanche,52.00
2024-01-26,avalanche,53.40
2024-01-27,avalanche,54.80
2024-01-28,avalanche,56.20
2024-01-29,avalanche,55.60
2024-01-30,avalanche,57.00
2024-01-01,chainlink,15.00
2024-01-02,chainlink,15.50
2024-01-03,chainlink,16.00
2024-01-04,chainlink,15.75
2024-01-05,chainlink,16.30
2024-01-06,chainlink,16.80
2024-01-07,chainlink,16.55
2024-01-08,chainlink,17.10
2024-01-09,chainlink,16.85
2024-01-10,chainlink,17.40
2024-01-11,chainlink,17.95
2024-01-12,chainlink,17.70
2024-01-13,chainlink,18.25
2024-01-14,chainlink,18.80
2024-01-15,chainlink,19.35
2024-01-16,chainlink,19.10
2024-01-17,chainlink,19.65
2024-01-18,chainlink,20.20
2024-01-19,chainlink,19.95
2024-01-20,chainlink,20.50
2024-01-21,chainlink,21.05
2024-01-22,chainlink,20.80
2024-01-23,chainlink,21.35
2024-01-24,chainlink,21.90
2024-01-25,chainlink,21.65
2024-01-26,chainlink,22.20
2024-01-27,chainlink,22.75
2024-01-28,chainlink,23.30
2024-01-29,chainlink,23.05
2024-01-30,chainlink,23.60
2024-01-01,tron,0.10
2024-01-02,tron,0.104
2024-01-03,tron,0.108
2024-01-04,tron,0.106
2024-01-05,tron,0.110
2024-01-06,tron,0.114
2024-01-07,tron,0.112
2024-01-08,tron,0.116
2024-01-09,tron,0.114
2024-01-10,tron,0.118
2024-01-11,tron,0.122
2024-01-12,tron,0.120
2024-01-13,tron,0.124
2024-01-14,tron,0.128
2024-01-15,tron,0.132
2024-01-16,tron,0.130
2024-01-17,tron,0.134
2024-01-18,tron,0.138
2024-01-19,tron,0.136
2024-01-20,tron,0.140
2024-01-21,tron,0.144
2024-01-22,tron,0.142
2024-01-23,tron,0.146
2024-01-24,tron,0.150
2024-01-25,tron,0.148
2024-01-26,tron,0.152
2024-01-27,tron,0.156
2024-01-28,tron,0.160
2024-01-29,tron,0.158
2024-01-30,tron,0.162
